hero_id,hero,item_key,item,rank,timing,games,wr,ci95,baseline_wr,baseline_games,baseline_ci95,delta,status
54,Lifestealer,ultimate_scepter,Aghanim's Scepter,all,all,57,0.6842105263157895,0.12067362080595573,0.5203040979046912,10786,0.009428388962888805,0.16390642841109826,thin
36,Necrophos,heart,Heart of Tarrasque,all,all,59,0.6610169491525424,0.12078843524702568,0.4989860665925296,15287,0.007926182175415377,0.1620308825600128,thin
67,Spectre,orb_of_frost,Orb of Frost,all,all,56,0.6964285714285714,0.12042892094509523,0.5358369768894441,12808,0.008637081584868455,0.1605915945391273,thin
12,Phantom Lancer,ultimate_orb,Ultimate Orb,all,all,58,0.6896551724137931,0.11906396174987781,0.5309037633916308,10921,0.009359739123109011,0.15875140902216234,thin
42,Wraith King,radiance,Radiance,all,all,58,0.7068965517241379,0.11714681084920706,0.5556702805024952,11622,0.00903393376008159,0.15122627122164267,thin
42,Wraith King,talisman_of_evasion,Talisman of Evasion,all,all,58,0.7068965517241379,0.11714681084920706,0.5556702805024952,11622,0.00903393376008159,0.15122627122164267,thin
13,Puck,blink,Blink Dagger,all,all,56,0.6428571428571429,0.12549900398011132,0.49573120352519967,3631,0.016262867464182866,0.14712593933194323,thin
12,Phantom Lancer,orchid,Orchid Malevolence,all,all,59,0.6779661016949152,0.11922980949304311,0.5309037633916308,10921,0.009359739123109011,0.1470623383032844,thin
18,Sven,quelling_blade,Quelling Blade,all,all,50,0.66,0.13130537231964273,0.5136479954506682,7034,0.011680543288401945,0.14635200454933184,thin
12,Phantom Lancer,skadi,Eye of Skadi,all,all,52,0.6730769230769231,0.12749981034730243,0.5309037633916308,10921,0.009359739123109011,0.14217315968529232,thin
8,Juggernaut,power_treads,Power Treads,all,all,87,0.3793103448275862,0.10196028536096462,0.5209027258514037,14711,0.00807281757429704,-0.14159238102381755,thin
86,Rubick,aghanims_shard,Aghanim's Shard,all,all,58,0.6379310344827587,0.12368715221918898,0.49718117619132396,16851,0.00754929392693521,0.14074985829143472,thin
42,Wraith King,relic,Sacred Relic,all,all,59,0.6949152542372882,0.11749144220879254,0.5556702805024952,11622,0.00903393376008159,0.13924497373479294,thin
8,Juggernaut,gloves,Gloves of Haste,all,all,94,0.3829787234042553,0.0982719419273983,0.5209027258514037,14711,0.00807281757429704,-0.13792400244714842,thin
13,Puck,witch_blade,Witch Blade,all,all,57,0.631578947368421,0.12522893454600975,0.49573120352519967,3631,0.016262867464182866,0.13584774384322135,thin
54,Lifestealer,basher,Skull Basher,all,all,51,0.6470588235294118,0.13115777172108956,0.5203040979046912,10786,0.009428388962888805,0.12675472562472057,thin
13,Puck,blitz_knuckles,Blitz Knuckles,all,all,58,0.6206896551724138,0.12487533658146432,0.49573120352519967,3631,0.016262867464182866,0.12495845164721414,thin
13,Puck,oblivion_staff,Oblivion Staff,all,all,58,0.6206896551724138,0.12487533658146432,0.49573120352519967,3631,0.016262867464182866,0.12495845164721414,thin
